Video_name,Caption,Gloss,Video_path
TjBIh0jjkMzijNOQ4tKm,I need help with my math homework.,NEED HELP WITH MY MATH HOMEWORK,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/TjBIh0jjkMzijNOQ4tKm
wHjqB0OJQ3HCH1Yih65G,I’m sorry but she’s away.,#BUT fs-SHE AWAY ME SORRY,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/wHjqB0OJQ3HCH1Yih65G
kIi36jMGJngpDi2PdqA3,My major is Psychology,MY MAJOR WHAT PSYCHOLOGY,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/kIi36jMGJngpDi2PdqA3
SdaCwB6r0XTlUvbsCLtf,i am running late for my doctor’s appointment.,ME RUN,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/SdaCwB6r0XTlUvbsCLtf
DnG1W8egY814LG6Xh1r1,I grew up by the coast in Maine,ME GROW-UP WHERE MAINE    BY fs-COAST,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/DnG1W8egY814LG6Xh1r1
z6kKrz3kDYcGUPInzyVw,She’s laughing every minute of every day.,fs-SHE LAUGH EVERY MINUTE EVERYDAY,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/z6kKrz3kDYcGUPInzyVw
FiWnAvyhmPm7zXfOWpbv,Where's the remote control?,REMOTE CONTROL WHERE,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/FiWnAvyhmPm7zXfOWpbv
5p9hlb5oZxmk9B96qAO1,Could you help me with my project?,CAN YOU HELP-ME WITH MY PROJECT,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/5p9hlb5oZxmk9B96qAO1
kO5UKCGu4y6plOgsdpML,I have to pass this english test.,ME HAVE PASS ENGLISH TEST,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/kO5UKCGu4y6plOgsdpML
R4GevxggXg4f21jeX2Uo,Her foot got caught in one of the ropes.,TIE fs-ROPES CATCH POSS-s:4 fs-FOOT,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/R4GevxggXg4f21jeX2Uo
ybvRVv9vgmf1UWeZTU7b,If only I could turn back time.,,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/ybvRVv9vgmf1UWeZTU7b
ARMdgJcck6XZxqyJ36H4,There’s a little bird outside my window.,OUT+ MY WINDOW LITTLE BIRD,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/ARMdgJcck6XZxqyJ36H4
4Q7Llsy9nA3UdHB4DsSv,You and i will always be friends.,YOU AND ME ALWAYS FRIEND,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/4Q7Llsy9nA3UdHB4DsSv
pJ9LjsKEtwyXuM3zZAvo,"Whether in big groups or small groups, I always feel a little shy at first.",,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/pJ9LjsKEtwyXuM3zZAvo
dzxzPxjsgmNzsKvM38OC,"She has long, brown hair. ",fs-SHE HAS LONG BROWN HAIR,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/dzxzPxjsgmNzsKvM38OC
jFu7jD3dD69Cd4Lhcs5f,My sister is dating an American,MY SISTER DATE AMERICAN,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/jFu7jD3dD69Cd4Lhcs5f
V5cQv2ovIwUH58xnfsOW,Today is the first of November.,TODAY FIRST fs-OF #NOVEMBER,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/V5cQv2ovIwUH58xnfsOW
ThiXBvN8JG9ysEgQAtEN,my father is so important to me.,MY FATHER fs-SO IMPORTANT TO ME,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/ThiXBvN8JG9ysEgQAtEN
h22T9TICTNi1nfPm0t2g,can you write me a prescription for this?,CAN YOU A:WRITE:S FOR THIS MEDICINE,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/h22T9TICTNi1nfPm0t2g
o24vUl4ZiXNMjJta0QgI,Perhaps we can arrive at a compromise,maybe compromise make can we,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/o24vUl4ZiXNMjJta0QgI
Q1exJIK9GpGfMFNJUBCU,What course did you take up in college?,COLLEGE CLASS TAKE YOU WHAT,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/Q1exJIK9GpGfMFNJUBCU
PrPwNpSWkBz9DAR9m1U1,We are going to watch a movie.,"IX-ONE-p:S,2,3,4 WILL GO WATCH movie",ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/PrPwNpSWkBz9DAR9m1U1
LZx8dmA4z8ompCyxgeeN,"even if they’ve broken up, they still remain friends.",TWO-of-THEM break-up BUT still friend,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/LZx8dmA4z8ompCyxgeeN
NXZwYogeomPgFyp0c4ni,His room is at the end of the corridor,poss-s:1 room end hall,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/NXZwYogeomPgFyp0c4ni
4JWyFG0FrmMFhf8t3hjQ,I like this bag better than the other one you showed me,ix-one-s:2 #bag ix-one-s:2 me like better ix-one-s:3 you-show-me,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/4JWyFG0FrmMFhf8t3hjQ
r4cE4seefL8u739DHDHT,The fuel industry is hiking prices.,GAS INDUSTRY PRICE INCREASE,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/r4cE4seefL8u739DHDHT
y4T9yewthM1mYQ2gaygN,I've always been a diligent student,good student always me,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/y4T9yewthM1mYQ2gaygN
eVoeRO9EwYh1n8e7yopD,My work load is so full now.,MY WORK FULL,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/eVoeRO9EwYh1n8e7yopD
tWVLPKXDFFEBo0S4Uj3L,He wants to join the soccer team.,fs-HE WANT JOIN SOCCER TEAM,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/tWVLPKXDFFEBo0S4Uj3L
ARUYbeDNnll8khYnJ0Nc,The result of this outreach program is amazing.,RESULT THIS OUTREACH PROGRAM AMAZING,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/ARUYbeDNnll8khYnJ0Nc
DNQnGpjd5dM30WJR7gwH,Will you support him,WILL YOU SUPPORT IX-ONE-s:3,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/DNQnGpjd5dM30WJR7gwH
D0auuTAnckawr3RDQKGx,Please throw out the trash.,,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/D0auuTAnckawr3RDQKGx
T24ZeeYRdLK2FHndQLF5,This is a great to start to learn the english language.,THIS fs-IS fs-A GREAT START LEARN ENGLISH LANGUAGE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/T24ZeeYRdLK2FHndQLF5
scGRQSGFZN8RyV6EmdVo,I grew up by the coast in Maine. ,GROW-UP fs-MAINE ME BY fs-COAST WHERE,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/scGRQSGFZN8RyV6EmdVo
t7dO6znj5AsNoIG34L4h,They both love chocolate ice cream,"ix-one-s:1,2 both love chocolate ice cream",ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/t7dO6znj5AsNoIG34L4h
Cd2ZrzqL6ywH9wgyAXMY,We met in college,we meet where college,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/Cd2ZrzqL6ywH9wgyAXMY
Bg8MMDOKnCkkVU1lCcq6,Could you help me with my project?,MY PROJECT CAN YOU HELP-ME,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/Bg8MMDOKnCkkVU1lCcq6
61ijbDeIdmnCRJT3ugt8,i can give you five reasons why you need to watch that video.,FIVE REASON ME CAN S:GIVE:A WHY YOU NEED WATCH THAT VIDEO,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/61ijbDeIdmnCRJT3ugt8
KIt67ERxPFTVXUl8g2vQ,I grew up in Maine by the beach.,ME GROW-UP   fs-MAINE BY COAST IX-ONE-s:2 WHERE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/KIt67ERxPFTVXUl8g2vQ
jFjb5iczkTrjZck8eREP,"If you see a bear here, run for your life.",IF YOU SEE bear IX-ONE-s:2 RUN,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/jFjb5iczkTrjZck8eREP
0BKwVgnDhXmyoDP6Croz,Did you go there?,fs-DID YOU GO THERE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/0BKwVgnDhXmyoDP6Croz
1qOLIsbIjWK14VDPeZIW,He took a step towards her,ix-one-s:1 ix-one-s:3 ix-one-s:1+ approach ix-one-s:3+,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/1qOLIsbIjWK14VDPeZIW
mseJN3pGUibaV7DSoHql,I've been checking his temperature every hour.,ME CHECK POSS-s:2 TEMPERATURE EVERY HOUR,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/mseJN3pGUibaV7DSoHql
p25QjY68rqHyDG3EPCtS,Can I borrow your english book?,CAN ME BORROW YOUR ENGLISH BOOK,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/p25QjY68rqHyDG3EPCtS
I9CQe4GbLtMeshxqzxKL,"Three years ago, I visited japan for the first time.",,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/I9CQe4GbLtMeshxqzxKL
ONxpalxdgC5QFfryyfLk,"Be careful, you might fall.",CAREFUL YOU MAYBE FALL,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/ONxpalxdgC5QFfryyfLk
gMwV0HU5XAApnWuP7LAg,Their brand has gone international! ,BRAND  IX-ONE-s:1 WOW INTERNATIONAL EVERYWHERE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/gMwV0HU5XAApnWuP7LAg
aPPFaIjSYP0On5kEo4d3,His grades have gone up.,HIS GRADE INCREASE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/aPPFaIjSYP0On5kEo4d3
jSIT6izjF1n8THKMqQo3,I’m quite satisfied with their work.,"ME SATISFY WITH SELF-p:3,4 WORK",ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/jSIT6izjF1n8THKMqQo3
CCq2rxxgOcIZTnzSns57,could you buy me some cooking oil at the store?,CAN YOU BUY ME SOME fs-OIL FROM STORE COOK,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/CCq2rxxgOcIZTnzSns57
vKzr8ivkgLHEXpDPjQLR,Do you know where this place is?,KNOW WHERE PLACE IX-ONE-s:2,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/vKzr8ivkgLHEXpDPjQLR
292ABg3Tj2cMJmcmYSzz,This might actually work,this might actually work,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/292ABg3Tj2cMJmcmYSzz
z9IOttyh2dI5qEECMcM8,all my favorite books are on this shelf.,ALL MY FAVORITE BOOK WHERE THIS SHELF,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/z9IOttyh2dI5qEECMcM8
qyP6NdcjbM8f3CdvbC7y,She's the one he's been waiting for.,IX-ONE-s:3 ONE IX-ONE-s:4 WAIT,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/qyP6NdcjbM8f3CdvbC7y
OSqg1X53VxNEf3x8oN8G,I am running late for my doctor’s appointment.,me LATE    for my doctor APPOINTMENT,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/OSqg1X53VxNEf3x8oN8G
wDPYfVrvVa9INlOAK5AG,Did you go there?,DO YOU GO THERE,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/wDPYfVrvVa9INlOAK5AG
RNvQxdSexkoiebdwRkeD,What's the difference between happiness and contentment?,DIFFERENT BETWEEN HAPPY SATISIFY WHAT,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/RNvQxdSexkoiebdwRkeD
ecs6zKZnMA9FORRJNnIC,Please give this to them,"give this ix-one-s:1,2 please",ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/ecs6zKZnMA9FORRJNnIC
yVFsUvmMrrEJPDH5daIR,Do you allow your kids to play outside the house?,YOU ALLOW YOUR KID PLAY OUTSIDE HOUSE,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/yVFsUvmMrrEJPDH5daIR
5n8MnGizauOV92WlXOUl,I thought you said this was going to be easy?,ME THINK YOU SAY THIS WILL fs-BE EASY,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/5n8MnGizauOV92WlXOUl
YJgm3BznuEX9M5JN9QRN,"Let’s catch up soon, please!",FIVE-of-US CATCH fs-UP SOON PLEASE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/YJgm3BznuEX9M5JN9QRN
3V0aEljeTuUTT7lJN6qF,,,ASLing/DOoc2yhl6HNqHQfeZCamSbeWFbk1/3V0aEljeTuUTT7lJN6qF
USome6Zr7IqeBB19MH2H,that rash could develop into something more serious.,THAT fs-RASH CAN BECOME MORE SERIOUS,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/USome6Zr7IqeBB19MH2H
s0M6hEzS6hZ3CDpmNIoa,what does it matter anyway?,WHAT WHATEVER,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/s0M6hEzS6hZ3CDpmNIoa
gjk3JqfstFf8oa2Mk3Ni,I have this big crush on brad pitt.,I HEART fs-BRAD PITT,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/gjk3JqfstFf8oa2Mk3Ni
AFOCO3TTPtDiXpbqaUAJ,That picture is so clear inside my head.,THAT PICTURE CLEAR INSIDE MY HEAD,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/AFOCO3TTPtDiXpbqaUAJ
yWx1yYZhGw5RbRXd92IX,Welcome to my office.,WELCOME MY OFFICE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/yWx1yYZhGw5RbRXd92IX
fKZrWsYv2D2pIz4Y53kD,This is the city that never sleeps.,THIS CITY NEVER SLEEP,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/fKZrWsYv2D2pIz4Y53kD
rJKv1l7b1Juzp423QY6i,,,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/rJKv1l7b1Juzp423QY6i
LZbkCWsCVl2dwojaj7ir,Is it okay if we add a bit of sugar to the tea?,fs-OK fs-IF me ADD LITTLE SUGAR IN TEA,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/LZbkCWsCVl2dwojaj7ir
hp8ViHhu8I81OxQlf9wH,Did you see that?,fs-DID YOU SEE THAT,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/hp8ViHhu8I81OxQlf9wH
oDiwvUZBGEtpDDhXLwUn,"I need some wine, too!",ME NEED SOME WINE TOO,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/oDiwvUZBGEtpDDhXLwUn
MYtxYPJ6zC2LIW40Ks4y,Do you like blue or yellow?,YOU LIKE blue fs-OR yellow,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/MYtxYPJ6zC2LIW40Ks4y
D8XRLrP8ybkZgUZ6ZlYV,"call me when you get home, okay?",,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/D8XRLrP8ybkZgUZ6ZlYV
SZjNbyWYoek7Idr2dhet,hearing his mom’s voice is all he need right now.,POSS-s:1 MOM VOICE ALL IX-ONE-s:1 NEED NOW HEAR,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/SZjNbyWYoek7Idr2dhet
gm6YTDUiTKFHDsDVD0g9,If only I could turn back time.,IF ONLY ME CAN TURN #BACK TIME,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/gm6YTDUiTKFHDsDVD0g9
53Z6LVJ7mQBEZhdu9EyR,This is just between you and me.,THIS BETWEEN YOU AND ME,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/53Z6LVJ7mQBEZhdu9EyR
FVW9acjVD2cRAaYX7IeV,,,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/FVW9acjVD2cRAaYX7IeV
kzz2JJtIlipdUtwThZw1,Do you like blue or yellow?,BLUE fs-OR YELLOW YOU LIKE,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/kzz2JJtIlipdUtwThZw1
AEQGHbkCWZcfhKInUkVA,when will i see you again?,WHEN will ME SEE you AGAIN,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/AEQGHbkCWZcfhKInUkVA
wb3qgW8xRMQ706QiOyBu,We want everyone to grow and thrive in their careers.,WE WANT EVERYONE GROW AND thrive IN THEIR JOB,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/wb3qgW8xRMQ706QiOyBu
pM7SLI7tmXZDVhyKMzjp,,COME,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/pM7SLI7tmXZDVhyKMzjp
4MOpBrtuAJCeywmcK1PK,This is public property.,THIS PUBLIC property,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/4MOpBrtuAJCeywmcK1PK
BBx9P1j8rPSRoPWKsAJU,Are you open to teaching on weekends?,you fs-ok teach weekend,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/BBx9P1j8rPSRoPWKsAJU
gB7UnO6K5iwnsZykgaOR,i agree! he is cute!,ME AGREE IX-ONE-s:1 CUTE,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/gB7UnO6K5iwnsZykgaOR
nLXiW0TVx6TfJxLGHbSv,This is my favorite product in their new line of cosmetics.,THIS MY FAVORITE PRODUCT LINE fs-OF THEIR MAKE-UP,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/nLXiW0TVx6TfJxLGHbSv
BR5ByAIh0ldA8DzSqg76,can you give each of them an apple?,CAN YOU GIVE EACH++ ONE APPLE,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/BR5ByAIh0ldA8DzSqg76
huCHK9GHWH8YuQYGdn59,I once had a puppy named bark.,ME ONCE HAVE fs-PUPPY NAME fs-BARK,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/huCHK9GHWH8YuQYGdn59
5a84jjJkwzDkh9h2fhfU,My cat Oliver hates other cats,MY CAT HATE OTHER CAT+ fs-OLIVER,ASLing/DOoc2yhl6HNqHQfeZCamSbeWFbk1/5a84jjJkwzDkh9h2fhfU
5a84jjJkwzDkh9h2fhfU,"My cat, Oliver, hates other cats.",MY CAT  fs-OLIVER HATE OTHER CATS,ASLing/DOoc2yhl6HNqHQfeZCamSbeWFbk1/5a84jjJkwzDkh9h2fhfU
5a84jjJkwzDkh9h2fhfU,"My cat, Oliver, hates other cats.",MY CAT HATE OTHER CAT+ fs-OLIVER,ASLing/DOoc2yhl6HNqHQfeZCamSbeWFbk1/5a84jjJkwzDkh9h2fhfU
5a84jjJkwzDkh9h2fhfU,MY CAT FS-OLIVER HATES OTHER CATS,MY CAT fs-OLIVER HATES OTHER CATS,ASLing/DOoc2yhl6HNqHQfeZCamSbeWFbk1/5a84jjJkwzDkh9h2fhfU
xwz3UDbjX6zGl8PLaVle,Can I have a coke with that?,CAN ME SODA THAT,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/xwz3UDbjX6zGl8PLaVle
0L9ZKy2IvL1cQH7K4tuf,Let's go inside my car,go inside my fs-car,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/0L9ZKy2IvL1cQH7K4tuf
xWNzqGjEE5u73bpWzzhe,Can you carry my bag for me?,,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/xWNzqGjEE5u73bpWzzhe
CYvnGjhJKdvti5lsAmhs,I saw him draw it while writing on the table,,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/CYvnGjhJKdvti5lsAmhs
2Dfxtvjq9SlkNtkj8QCW,How is your research going?,HOW YOUR RESEARCH GO,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/2Dfxtvjq9SlkNtkj8QCW
nFI0YOAQijRgu0FJaqV5,I live up in the mountains,ME LIVE  UP MOUNTAIN,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/nFI0YOAQijRgu0FJaqV5
nS6QBE8dGXGZS3h7oqQa,I hope you say yes,me hope you say yes,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/nS6QBE8dGXGZS3h7oqQa
oDfLjr2cMXYlHXIhWn41,This is the best day of my life.,TODAY BEST DAY MY LIFE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/oDfLjr2cMXYlHXIhWn41
wYj1urxFlUqB5irSLDFb,He hit the burglar with a bat.,IX-ONE-p:4 HIT fs-BURGLAR WITH BAT,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/wYj1urxFlUqB5irSLDFb
rnjM9kzjktW0LLweqgYV,Can we make our projects together?,can we make our project together,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/rnjM9kzjktW0LLweqgYV
1wcv3ttPV2lpecadmGnh,I love what you're wearing!,  me   love you wear,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/1wcv3ttPV2lpecadmGnh
PVG7yOpMn9VoAcd0NNv9,I have a million questions about this book.,me have million question ABOUT THIS BOOK,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/PVG7yOpMn9VoAcd0NNv9
mjxYdoWZRzflnvD4yr5v,What can we change so that things will get better?,CAN we CHANGE IMPROVE WHAT,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/mjxYdoWZRzflnvD4yr5v
5MiPOwy1FGYh4cQSwRr9,Fresh farm produce is the best.,#FRESH FARM MAKE BEST,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/5MiPOwy1FGYh4cQSwRr9
lJQORvKSnDjzHXYERSiY,You are only allowed to go out today.,TODAY YOU ONLY ALLOW GO OUTSIDE,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/lJQORvKSnDjzHXYERSiY
j7J07aZoD3ad0qkZBkuB,Her blood pressure has gotten really low.,POSS-s:2 BLOOD pressure LOW,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/j7J07aZoD3ad0qkZBkuB
9YM7Z0KMxT2mZ1jEN2S7,Your dog ran across the park,your dog run fs-park,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/9YM7Z0KMxT2mZ1jEN2S7
epakKw5jukkhVyuCBNuA,There are so many people at the mall today,fs-MALL TODAY A-LOT PEOPLE,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/epakKw5jukkhVyuCBNuA
u7cazrmccduUhdxhJK59,Let’s watch a movie later.,ALLOW WATCH BUSINESS LATER,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/u7cazrmccduUhdxhJK59
MgTnPekkW0PHjXSiCtta,The ground is shaking,ground shake,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/MgTnPekkW0PHjXSiCtta
0x0viMajM3sENRj5IsIr,"It was your idea to go to the beach, remember?",remember YOUR idea GO BEACH,ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/0x0viMajM3sENRj5IsIr
hOZkSQbgHNPO3urRnlIY,Did you see that?,did you see that,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/hOZkSQbgHNPO3urRnlIY
EmJ0sNj6KG7gX2VsdTbk,how much did you spend on your last shopping spree?,how-much YOU SPEND ON YOUR LAST STORE fs-SPREE,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/EmJ0sNj6KG7gX2VsdTbk
Jac9PO9vCRQYfLqBzJWf,are you sure you want to do this alone?,YOU SURE YOU want DO THIS alone,ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/Jac9PO9vCRQYfLqBzJWf
lYmR4ybjdAXBXLbmsuxt,We are going to watch a movie.,WE WILL WATCH MOVIE,ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/lYmR4ybjdAXBXLbmsuxt
